id,response,response_no,plot_location,time_taken,conf_level,choice_reason,sample_size,param_value,test_param,p_value,pic_id,pic_name,experiment,difficulty,description
6,FALSE,5,4,58,1,2,30,40_1_2,p_noise_d,NA,1308,plot_large_p_small_n_30_40_1_2_2.png,turk7,4,turk7
6,FALSE,15,14,47,2,2,30,60_1_2,p_noise_d,NA,1311,plot_large_p_small_n_30_60_1_2_2.png,turk7,4,turk7
6,TRUE,19,19,90,3,4,30,80_0_2,p_noise_d,NA,1298,plot_large_p_small_n_30_80_0_2_1.png,turk7,3,turk7
6,TRUE,6,6,20,2,1,30,10_0_1,p_noise_d,NA,1250,plot_large_p_small_n_30_10_0_1_2.png,turk7,0,turk7
7,FALSE,6,4,44,3,1,30,40_1_2,p_noise_d,NA,1308,plot_large_p_small_n_30_40_1_2_2.png,turk7,4,turk7
7,FALSE,11,9,26,3,1,30,60_1_1,p_noise_d,NA,1282,plot_large_p_small_n_30_60_1_1_3.png,turk7,4,turk7
8,FALSE,20,5,27,3,2,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
8,FALSE,12,15,10,3,3,30,20_1_2,p_noise_d,NA,1305,plot_large_p_small_n_30_20_1_2_2.png,turk7,4,turk7
8,FALSE,14,9,16,3,4,30,100_1_2,p_noise_d,NA,1317,plot_large_p_small_n_30_100_1_2_2.png,turk7,4,turk7
8,FALSE,10,9,11,3,3,50,40_1_2,p_noise_d,NA,1323,plot_wasp_30_40_1_2_2.png,turk7,5,turk7
8,FALSE,11,9,9,3,3,30,40_0_2,p_noise_d,NA,1292,plot_large_p_small_n_30_40_0_2_1.png,turk7,3,turk7
8,FALSE,4,1,23,2,1,30,20_0_2,p_noise_d,NA,1291,plot_large_p_small_n_30_20_0_2_3.png,turk7,1,turk7
8,FALSE,16,12,10,3,3,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
8,FALSE,6,14,33,3,2,30,10_0_2,p_noise_d,NA,1257,plot_large_p_small_n_30_10_0_2_4.png,turk7,0,turk7
8,FALSE,7,1,8,3,2,30,100_1_1,p_noise_d,NA,1288,plot_large_p_small_n_30_100_1_1_3.png,turk7,4,turk7
8,FALSE,6,19,11,2,2,30,100_0_1,p_noise_d,NA,1271,plot_large_p_small_n_30_100_0_1_1.png,turk7,2,turk7
9,FALSE,16,5,27,1,1,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
9,TRUE,11,11,26,1,2,30,60_0_2,p_noise_d,NA,1295,plot_large_p_small_n_30_60_0_2_1.png,turk7,3,turk7
9,TRUE,4,4,16,1,1,30,40_0_1,p_noise_d,NA,1264,plot_large_p_small_n_30_40_0_1_3.png,turk7,2,turk7
9,FALSE,3,1,49,1,1,30,100_1_2,p_noise_d,NA,1318,plot_large_p_small_n_30_100_1_2_3.png,turk7,4,turk7
9,FALSE,1,12,39,1,1,30,40_1_2,p_noise_d,NA,1307,plot_large_p_small_n_30_40_1_2_1.png,turk7,4,turk7
9,TRUE,1,1,21,1,2,30,20_0_2,p_noise_d,NA,1291,plot_large_p_small_n_30_20_0_2_3.png,turk7,1,turk7
9,FALSE,2,14,49,1,1,50,40_1_2,p_noise_d,NA,1322,plot_wasp_30_40_1_2_1.png,turk7,5,turk7
9,TRUE,6,6,16,1,2,30,10_0_2,p_noise_d,NA,1255,plot_large_p_small_n_30_10_0_2_2.png,turk7,0,turk7
9,FALSE,5,12,27,1,1,30,40_1_1,p_noise_d,NA,1277,plot_large_p_small_n_30_40_1_1_1.png,turk7,4,turk7
9,FALSE,1,12,15,1,2,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
10,TRUE,11,11,168,4,13,30,60_0_2,p_noise_d,NA,1295,plot_large_p_small_n_30_60_0_2_1.png,turk7,3,turk7
10,TRUE,14,14,37,4,13,30,10_0_2,p_noise_d,NA,1257,plot_large_p_small_n_30_10_0_2_4.png,turk7,0,turk7
10,TRUE,9,9,21,5,1,30,20_0_2,p_noise_d,NA,1289,plot_large_p_small_n_30_20_0_2_1.png,turk7,1,turk7
10,FALSE,16,6,28,4,1,30,100_1_1,p_noise_d,NA,1287,plot_large_p_small_n_30_100_1_1_2.png,turk7,4,turk7
10,TRUE,11,11,27,5,1,30,40_0_2,p_noise_d,NA,1293,plot_large_p_small_n_30_40_0_2_2.png,turk7,3,turk7
10,TRUE,9,9,126,4,1,30,40_0_1,p_noise_d,NA,1263,plot_large_p_small_n_30_40_0_1_2.png,turk7,2,turk7
10,FALSE,15,10,62,3,1,30,20_1_2,p_noise_d,NA,1304,plot_large_p_small_n_30_20_1_2_1.png,turk7,4,turk7
10,FALSE,11,9,62,5,4,50,40_1_2,p_noise_d,NA,1323,plot_wasp_30_40_1_2_2.png,turk7,5,turk7
10,TRUE,9,9,58,4,1,30,40_0_1,p_noise_d,NA,1263,plot_large_p_small_n_30_40_0_1_2.png,turk7,2,turk7
10,FALSE,2,12,60,3,13,30,40_1_2,p_noise_d,NA,1307,plot_large_p_small_n_30_40_1_2_1.png,turk7,4,turk7
11,FALSE,15,11,48,1,1,30,60_0_2,p_noise_d,NA,1295,plot_large_p_small_n_30_60_0_2_1.png,turk7,3,turk7
11,FALSE,19,10,145,1,3,30,20_1_2,p_noise_d,NA,1304,plot_large_p_small_n_30_20_1_2_1.png,turk7,4,turk7
11,TRUE,15,15,76,1,1,30,100_0_1,p_noise_d,NA,1273,plot_large_p_small_n_30_100_0_1_3.png,turk7,2,turk7
11,FALSE,7,8,131,1,1,50,40_0_2,p_noise_d,NA,1319,plot_wasp_30_40_0_2_1.png,turk7,5,turk7
12,TRUE,5,5,42,1,1,30,80_0_1,p_noise_d,NA,1270,plot_large_p_small_n_30_80_0_1_3.png,turk7,2,turk7
12,FALSE,10,14,56,2,1,30,60_1_2,p_noise_d,NA,1310,plot_large_p_small_n_30_60_1_2_1.png,turk7,4,turk7
12,FALSE,20,1,110,2,1,30,100_1_1,p_noise_d,NA,1288,plot_large_p_small_n_30_100_1_1_3.png,turk7,4,turk7
12,FALSE,7,13,83,2,1,30,100_0_2,p_noise_d,NA,1301,plot_large_p_small_n_30_100_0_2_1.png,turk7,3,turk7
12,TRUE,13,13,41,1,1,30,10_0_2,p_noise_d,NA,1254,plot_large_p_small_n_30_10_0_2_1.png,turk7,0,turk7
12,TRUE,17,17,29,1,1,30,20_0_1,p_noise_d,NA,1259,plot_large_p_small_n_30_20_0_1_1.png,turk7,1,turk7
12,TRUE,20,20,44,1,1,30,100_0_2,p_noise_d,NA,1303,plot_large_p_small_n_30_100_0_2_3.png,turk7,3,turk7
12,TRUE,5,5,42,1,1,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
12,FALSE,5,2,45,1,1,50,40_0_2,p_noise_d,NA,1320,plot_wasp_30_40_0_2_2.png,turk7,5,turk7
12,FALSE,16,13,32,1,1,30,40_1_1,p_noise_d,NA,1278,plot_large_p_small_n_30_40_1_1_2.png,turk7,4,turk7
13,FALSE,10,1,85,1,1,50,40_0_2,p_noise_d,NA,1321,plot_wasp_30_40_0_2_3.png,turk7,5,turk7
13,FALSE,14,20,44,1,2,30,60_1_1,p_noise_d,NA,1281,plot_large_p_small_n_30_60_1_1_2.png,turk7,4,turk7
13,TRUE,17,17,20,4,2,30,20_0_1,p_noise_d,NA,1259,plot_large_p_small_n_30_20_0_1_1.png,turk7,1,turk7
13,FALSE,20,12,68,2,2,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
13,FALSE,3,1,75,1,2,30,100_1_1,p_noise_d,NA,1288,plot_large_p_small_n_30_100_1_1_3.png,turk7,4,turk7
13,TRUE,5,5,43,2,2,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
13,FALSE,4,11,79,1,2,30,60_1_2,p_noise_d,NA,1312,plot_large_p_small_n_30_60_1_2_3.png,turk7,4,turk7
13,TRUE,9,9,25,2,1,30,10_0_1,p_noise_d,NA,1251,plot_large_p_small_n_30_10_0_1_3.png,turk7,0,turk7
14,FALSE,20,19,312,3,14,30,80_0_2,p_noise_d,NA,1298,plot_large_p_small_n_30_80_0_2_1.png,turk7,3,turk7
14,FALSE,1,12,29,4,14,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
14,FALSE,8,10,28,4,2,30,20_1_2,p_noise_d,NA,1304,plot_large_p_small_n_30_20_1_2_1.png,turk7,4,turk7
14,TRUE,17,17,26,2,1,30,20_0_1,p_noise_d,NA,1259,plot_large_p_small_n_30_20_0_1_1.png,turk7,1,turk7
14,TRUE,5,5,25,2,13,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
14,TRUE,6,6,15,2,1,30,10_0_2,p_noise_d,NA,1256,plot_large_p_small_n_30_10_0_2_3.png,turk7,0,turk7
14,FALSE,7,1,28,3,1,50,40_0_2,p_noise_d,NA,1321,plot_wasp_30_40_0_2_3.png,turk7,5,turk7
14,FALSE,6,20,693,3,12,30,40_1_2,p_noise_d,NA,1309,plot_large_p_small_n_30_40_1_2_3.png,turk7,4,turk7
14,FALSE,1,16,376,4,13,30,80_1_2,p_noise_d,NA,1313,plot_large_p_small_n_30_80_1_2_1.png,turk7,4,turk7
14,FALSE,20,19,53,2,1,30,100_0_1,p_noise_d,NA,1271,plot_large_p_small_n_30_100_0_1_1.png,turk7,2,turk7
15,FALSE,20,8,37,3,4,30,80_1_2,p_noise_d,NA,1315,plot_large_p_small_n_30_80_1_2_3.png,turk7,4,turk7
15,FALSE,17,13,36,1,5,30,10_0_1,p_noise_d,NA,1253,plot_large_p_small_n_30_10_0_1_5.png,turk7,0,turk7
15,FALSE,4,12,49,4,3,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
15,FALSE,17,15,47,5,3,30,20_1_2,p_noise_d,NA,1305,plot_large_p_small_n_30_20_1_2_2.png,turk7,4,turk7
15,FALSE,13,7,29,2,3,30,20_0_1,p_noise_d,NA,1261,plot_large_p_small_n_30_20_0_1_3.png,turk7,1,turk7
15,FALSE,14,16,28,4,2,30,80_1_2,p_noise_d,NA,1313,plot_large_p_small_n_30_80_1_2_1.png,turk7,4,turk7
15,FALSE,13,2,20,3,1,30,10_0_2,p_noise_d,NA,1258,plot_large_p_small_n_30_10_0_2_5.png,turk7,0,turk7
15,FALSE,15,9,30,1,3,50,40_1_2,p_noise_d,NA,1324,plot_wasp_30_40_1_2_3.png,turk7,5,turk7
15,FALSE,1,5,22,1,1,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
15,FALSE,15,17,18,1,3,30,20_0_1,p_noise_d,NA,1259,plot_large_p_small_n_30_20_0_1_1.png,turk7,1,turk7
15,FALSE,17,12,29,2,3,30,60_0_2,p_noise_d,NA,1296,plot_large_p_small_n_30_60_0_2_2.png,turk7,3,turk7
15,FALSE,1,10,30,5,1,30,100_0_1,p_noise_d,NA,1272,plot_large_p_small_n_30_100_0_1_2.png,turk7,2,turk7
15,FALSE,14,9,45,4,3,30,40_0_1,p_noise_d,NA,1263,plot_large_p_small_n_30_40_0_1_2.png,turk7,2,turk7
16,TRUE,9,9,28,1,12,30,20_0_1,p_noise_d,NA,1260,plot_large_p_small_n_30_20_0_1_2.png,turk7,1,turk7
16,FALSE,20,12,103,3,2,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
16,FALSE,4,11,53,4,2,30,60_1_2,p_noise_d,NA,1312,plot_large_p_small_n_30_60_1_2_3.png,turk7,4,turk7
16,FALSE,20,16,133,4,2,30,80_1_2,p_noise_d,NA,1313,plot_large_p_small_n_30_80_1_2_1.png,turk7,4,turk7
16,TRUE,10,10,62,2,12,30,40_0_1,p_noise_d,NA,1262,plot_large_p_small_n_30_40_0_1_1.png,turk7,2,turk7
16,FALSE,1,8,59,2,4,50,40_0_2,p_noise_d,NA,1319,plot_wasp_30_40_0_2_1.png,turk7,5,turk7
16,TRUE,18,18,60,2,1,30,60_0_1,p_noise_d,NA,1265,plot_large_p_small_n_30_60_0_1_1.png,turk7,2,turk7
16,TRUE,20,20,91,4,2,30,80_0_2,p_noise_d,NA,1300,plot_large_p_small_n_30_80_0_2_3.png,turk7,3,turk7
16,TRUE,9,9,28,1,12,30,10_0_1,p_noise_d,NA,1251,plot_large_p_small_n_30_10_0_1_3.png,turk7,0,turk7
16,FALSE,19,9,56,3,2,30,100_1_2,p_noise_d,NA,1317,plot_large_p_small_n_30_100_1_2_2.png,turk7,4,turk7
17,FALSE,6,15,25,4,12,30,80_0_1,p_noise_d,NA,1269,plot_large_p_small_n_30_80_0_1_2.png,turk7,2,turk7
17,TRUE,1,1,29,5,1,30,20_0_2,p_noise_d,NA,1291,plot_large_p_small_n_30_20_0_2_3.png,turk7,1,turk7
17,FALSE,8,1,48,3,3,50,40_0_2,p_noise_d,NA,1321,plot_wasp_30_40_0_2_3.png,turk7,5,turk7
17,FALSE,11,8,23,4,12,30,40_1_1,p_noise_d,NA,1279,plot_large_p_small_n_30_40_1_1_3.png,turk7,4,turk7
17,TRUE,9,9,21,5,13,30,10_0_1,p_noise_d,NA,1251,plot_large_p_small_n_30_10_0_1_3.png,turk7,0,turk7
17,FALSE,16,20,42,4,12,30,100_1_2,p_noise_d,NA,1316,plot_large_p_small_n_30_100_1_2_1.png,turk7,4,turk7
17,FALSE,15,12,67,3,14,30,40_1_1,p_noise_d,NA,1277,plot_large_p_small_n_30_40_1_1_1.png,turk7,4,turk7
17,TRUE,20,20,27,4,124,30,100_0_2,p_noise_d,NA,1303,plot_large_p_small_n_30_100_0_2_3.png,turk7,3,turk7
17,TRUE,5,5,29,4,12,30,80_0_1,p_noise_d,NA,1270,plot_large_p_small_n_30_80_0_1_3.png,turk7,2,turk7
17,TRUE,15,15,33,3,12,30,60_0_2,p_noise_d,NA,1297,plot_large_p_small_n_30_60_0_2_3.png,turk7,3,turk7
18,FALSE,20,14,36,4,1,30,60_1_2,p_noise_d,NA,1311,plot_large_p_small_n_30_60_1_2_2.png,turk7,4,turk7
18,TRUE,15,15,33,5,1,30,100_0_1,p_noise_d,NA,1273,plot_large_p_small_n_30_100_0_1_3.png,turk7,2,turk7
18,TRUE,9,9,14,5,1,30,20_0_1,p_noise_d,NA,1260,plot_large_p_small_n_30_20_0_1_2.png,turk7,1,turk7
18,TRUE,4,4,42,5,1,30,40_0_1,p_noise_d,NA,1264,plot_large_p_small_n_30_40_0_1_3.png,turk7,2,turk7
18,TRUE,19,19,44,4,4,30,80_0_2,p_noise_d,NA,1298,plot_large_p_small_n_30_80_0_2_1.png,turk7,3,turk7
18,FALSE,1,9,41,4,1,30,100_1_2,p_noise_d,NA,1317,plot_large_p_small_n_30_100_1_2_2.png,turk7,4,turk7
18,TRUE,20,20,24,5,1,30,100_0_2,p_noise_d,NA,1303,plot_large_p_small_n_30_100_0_2_3.png,turk7,3,turk7
18,FALSE,16,9,23,5,1,50,40_1_2,p_noise_d,NA,1324,plot_wasp_30_40_1_2_3.png,turk7,5,turk7
18,FALSE,1,20,29,4,1,30,40_1_2,p_noise_d,NA,1309,plot_large_p_small_n_30_40_1_2_3.png,turk7,4,turk7
18,TRUE,10,10,13,5,1,30,10_0_1,p_noise_d,NA,1249,plot_large_p_small_n_30_10_0_1_1.png,turk7,0,turk7
19,FALSE,20,15,18,5,5,30,80_0_1,p_noise_d,NA,1269,plot_large_p_small_n_30_80_0_1_2.png,turk7,2,turk7
19,FALSE,1,20,53,5,5,30,100_0_2,p_noise_d,NA,1303,plot_large_p_small_n_30_100_0_2_3.png,turk7,3,turk7
20,TRUE,15,15,30,5,5,30,100_0_1,p_noise_d,NA,1273,plot_large_p_small_n_30_100_0_1_3.png,turk7,2,turk7
20,TRUE,9,9,14,5,5,30,20_0_1,p_noise_d,NA,1260,plot_large_p_small_n_30_20_0_1_2.png,turk7,1,turk7
20,FALSE,5,18,14,5,5,30,80_0_1,p_noise_d,NA,1268,plot_large_p_small_n_30_80_0_1_1.png,turk7,2,turk7
20,FALSE,6,8,31,5,5,30,40_1_1,p_noise_d,NA,1279,plot_large_p_small_n_30_40_1_1_3.png,turk7,4,turk7
20,FALSE,5,14,21,5,5,50,40_1_2,p_noise_d,NA,1322,plot_wasp_30_40_1_2_1.png,turk7,5,turk7
20,FALSE,20,6,18,5,5,30,100_1_1,p_noise_d,NA,1287,plot_large_p_small_n_30_100_1_1_2.png,turk7,4,turk7
20,TRUE,14,14,184,5,5,30,10_0_2,p_noise_d,NA,1257,plot_large_p_small_n_30_10_0_2_4.png,turk7,0,turk7
20,TRUE,12,12,21,5,5,30,10_0_1,p_noise_d,NA,1252,plot_large_p_small_n_30_10_0_1_4.png,turk7,0,turk7
