id,response,response_no,plot_location,time_taken,conf_level,choice_reason,sample_size,p_value,pic_id,pic_name,experiment,difficulty,description,beta,sigma,replica
3,FALSE,11,18,72,2,1,100,0.0927,158,plot_turk2_100_125_5_1.png,turk2,2,Turk2,-1.25,5,1
4,FALSE,7,19,27,1,2,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
4,TRUE,10,10,12,1,2,300,0.0013,194,plot_turk2_300_150_5_1.png,turk2,0,Turk2,-1.5,5,1
4,FALSE,14,3,38,1,2,100,0.6879,167,plot_turk2_100_50_12_1.png,turk2,4,Turk2,-0.5,12,1
4,TRUE,17,17,36,1,2,100,0,181,plot_turk2_100_600_12_3.png,turk2,0,Turk2,-6,12,3
4,FALSE,18,14,19,1,2,300,0.2964,185,plot_turk2_300_40_5_1.png,turk2,3,Turk2,0.4,5,1
4,FALSE,15,3,12,1,2,300,0,191,plot_turk2_300_100_5_1.png,turk2,1,Turk2,1,5,1
4,FALSE,12,10,25,2,2,100,0.0802,175,plot_turk2_100_350_12_3.png,turk2,2,Turk2,-3.5,12,3
4,FALSE,4,14,18,1,2,100,0.4696,170,plot_turk2_100_150_12_1.png,turk2,3,Turk2,-1.5,12,1
4,TRUE,20,20,43,1,2,100,0.0061,176,plot_turk2_100_450_12_1.png,turk2,1,Turk2,-4.5,12,1
4,TRUE,17,17,14,1,2,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
5,FALSE,6,1,97,3,2,100,0.0539,173,plot_turk2_100_350_12_1.png,turk2,2,Turk2,3.5,12,1
5,FALSE,3,17,19,3,1,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
5,TRUE,19,19,28,3,1,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
5,TRUE,4,4,23,3,1,300,0,193,plot_turk2_300_100_5_3.png,turk2,1,Turk2,1,5,3
5,FALSE,16,3,54,3,3,100,0.6879,167,plot_turk2_100_50_12_1.png,turk2,4,Turk2,-0.5,12,1
5,FALSE,7,8,24,5,1,100,0.9403,171,plot_turk2_100_150_12_2.png,turk2,3,Turk2,-1.5,12,2
5,TRUE,1,1,40,2,1,300,0.0067,195,plot_turk2_300_150_5_2.png,turk2,0,Turk2,1.5,5,2
5,TRUE,20,20,30,5,1,100,0.0061,176,plot_turk2_100_450_12_1.png,turk2,1,Turk2,-4.5,12,1
5,TRUE,17,17,52,5,1,100,0,181,plot_turk2_100_600_12_3.png,turk2,0,Turk2,-6,12,3
5,FALSE,8,11,53,2,23,300,0.0895,186,plot_turk2_300_40_5_2.png,turk2,3,Turk2,0.4,5,2
6,FALSE,20,14,8,4,3,300,0.4015,199,plot_turk2_300_0_12_3.png,turk2,4,Turk2,0,12,3
6,FALSE,20,13,10,5,1,100,0.5075,168,plot_turk2_100_50_12_2.png,turk2,4,Turk2,-0.5,12,2
6,FALSE,20,3,28,1,1,100,0.6879,167,plot_turk2_100_50_12_1.png,turk2,4,Turk2,-0.5,12,1
6,FALSE,20,2,6,3,34,100,0,178,plot_turk2_100_450_12_3.png,turk2,1,Turk2,4.5,12,3
6,FALSE,20,13,7,5,3,100,0.8014,169,plot_turk2_100_50_12_3.png,turk2,4,Turk2,-0.5,12,3
6,FALSE,20,5,7,4,3,100,0.5453,154,plot_turk2_100_25_5_3.png,turk2,4,Turk2,-0.25,5,3
6,FALSE,20,13,9,2,1,100,9.00E-04,155,plot_turk2_100_75_5_1.png,turk2,3,Turk2,0.75,5,1
6,FALSE,20,13,8,5,3,100,0.8014,169,plot_turk2_100_50_12_3.png,turk2,4,Turk2,-0.5,12,3
6,FALSE,20,2,11,1,3,100,0,178,plot_turk2_100_450_12_3.png,turk2,1,Turk2,4.5,12,3
6,FALSE,20,10,9,3,3,100,0.0802,175,plot_turk2_100_350_12_3.png,turk2,2,Turk2,-3.5,12,3
6,FALSE,20,3,10,4,3,100,6.00E-04,161,plot_turk2_100_175_5_1.png,turk2,1,Turk2,-1.75,5,1
6,FALSE,20,19,50,5,1,100,0,179,plot_turk2_100_600_12_1.png,turk2,0,Turk2,-6,12,1
6,FALSE,20,13,12,4,1,100,0.8014,169,plot_turk2_100_50_12_3.png,turk2,4,Turk2,-0.5,12,3
6,FALSE,20,10,16,5,2,100,0.0802,175,plot_turk2_100_350_12_3.png,turk2,2,Turk2,-3.5,12,3
6,FALSE,20,3,8,1,1,300,0.1912,182,plot_turk2_300_10_5_1.png,turk2,4,Turk2,0.1,5,1
6,FALSE,20,1,9,1,3,100,0,165,plot_turk2_100_275_5_2.png,turk2,0,Turk2,-2.75,5,2
6,FALSE,20,14,7,1,1,300,0.2964,185,plot_turk2_300_40_5_1.png,turk2,3,Turk2,0.4,5,1
6,FALSE,20,17,10,1,1,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
6,FALSE,20,15,11,2,2,100,0,162,plot_turk2_100_175_5_2.png,turk2,1,Turk2,1.75,5,2
6,TRUE,20,20,7,1,1,300,0,211,plot_turk2_300_350_12_3.png,turk2,0,Turk2,-3.5,12,3
6,FALSE,20,3,10,2,23,100,0.6879,167,plot_turk2_100_50_12_1.png,turk2,4,Turk2,-0.5,12,1
6,FALSE,20,14,6,1,1,300,0.2964,185,plot_turk2_300_40_5_1.png,turk2,3,Turk2,0.4,5,1
6,FALSE,20,3,19,1,2,300,0,191,plot_turk2_300_100_5_1.png,turk2,1,Turk2,1,5,1
6,FALSE,20,10,19,1,1,300,0.0013,194,plot_turk2_300_150_5_1.png,turk2,0,Turk2,-1.5,5,1
6,FALSE,20,18,9,2,13,100,0,166,plot_turk2_100_275_5_3.png,turk2,0,Turk2,2.75,5,3
6,FALSE,20,9,8,3,3,100,1.00E-04,163,plot_turk2_100_175_5_3.png,turk2,1,Turk2,-1.75,5,3
6,FALSE,20,17,16,1,1,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
6,FALSE,20,3,11,3,3,100,0.6879,167,plot_turk2_100_50_12_1.png,turk2,4,Turk2,-0.5,12,1
6,FALSE,20,2,17,5,1,100,0,178,plot_turk2_100_450_12_3.png,turk2,1,Turk2,4.5,12,3
6,FALSE,20,19,7,1,1,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
6,FALSE,20,8,23,1,3,100,0.9403,171,plot_turk2_100_150_12_2.png,turk2,3,Turk2,-1.5,12,2
7,FALSE,6,14,32,3,1,100,0.4696,170,plot_turk2_100_150_12_1.png,turk2,3,Turk2,-1.5,12,1
7,FALSE,12,10,61,3,1,100,0.0802,175,plot_turk2_100_350_12_3.png,turk2,2,Turk2,-3.5,12,3
7,FALSE,9,15,28,3,1,300,0.352,187,plot_turk2_300_40_5_3.png,turk2,3,Turk2,0.4,5,3
7,TRUE,1,1,23,3,1,300,0.0067,195,plot_turk2_300_150_5_2.png,turk2,0,Turk2,1.5,5,2
7,TRUE,19,19,68,5,12,100,0,180,plot_turk2_100_600_12_2.png,turk2,0,Turk2,-6,12,2
7,FALSE,14,13,44,3,1,100,0.5075,168,plot_turk2_100_50_12_2.png,turk2,4,Turk2,-0.5,12,2
7,TRUE,3,3,13,4,1,300,0,191,plot_turk2_300_100_5_1.png,turk2,1,Turk2,1,5,1
7,TRUE,3,3,20,3,1,300,0.0342,190,plot_turk2_300_70_5_3.png,turk2,2,Turk2,-0.7,5,3
7,TRUE,10,10,14,4,1,300,0.0013,194,plot_turk2_300_150_5_1.png,turk2,0,Turk2,-1.5,5,1
7,TRUE,20,20,45,5,1,100,0.0061,176,plot_turk2_100_450_12_1.png,turk2,1,Turk2,-4.5,12,1
8,FALSE,12,10,35,2,24,100,0.0802,175,plot_turk2_100_350_12_3.png,turk2,2,Turk2,-3.5,12,3
8,TRUE,17,17,12,2,4,100,0,164,plot_turk2_100_275_5_1.png,turk2,0,Turk2,2.75,5,1
8,TRUE,20,20,19,1,4,300,0,211,plot_turk2_300_350_12_3.png,turk2,0,Turk2,-3.5,12,3
8,FALSE,12,10,46,2,4,100,0.1297,172,plot_turk2_100_150_12_3.png,turk2,3,Turk2,1.5,12,3
8,FALSE,17,7,17,2,1,300,0.0017,207,plot_turk2_300_230_12_2.png,turk2,1,Turk2,2.3,12,2
8,TRUE,19,19,23,3,2,100,0,179,plot_turk2_100_600_12_1.png,turk2,0,Turk2,-6,12,1
8,TRUE,17,17,70,2,2,100,0,181,plot_turk2_100_600_12_3.png,turk2,0,Turk2,-6,12,3
8,TRUE,2,2,15,1,4,100,0,178,plot_turk2_100_450_12_3.png,turk2,1,Turk2,4.5,12,3
8,FALSE,5,6,34,3,4,300,0.0035,203,plot_turk2_300_175_12_1.png,turk2,2,Turk2,-1.75,12,1
8,FALSE,13,6,14,3,4,300,0.2873,197,plot_turk2_300_0_12_1.png,turk2,4,Turk2,0,12,1
8,TRUE,13,13,20,3,4,300,0,210,plot_turk2_300_350_12_2.png,turk2,0,Turk2,3.5,12,2
8,FALSE,20,13,40,3,1,100,0.5075,168,plot_turk2_100_50_12_2.png,turk2,4,Turk2,-0.5,12,2
8,FALSE,14,11,16,4,4,300,0.108,201,plot_turk2_300_80_12_2.png,turk2,3,Turk2,0.8,12,2
8,TRUE,19,19,17,2,4,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
8,TRUE,1,1,11,3,4,300,0.0067,195,plot_turk2_300_150_5_2.png,turk2,0,Turk2,1.5,5,2
8,TRUE,20,20,80,2,4,100,0.0061,176,plot_turk2_100_450_12_1.png,turk2,1,Turk2,-4.5,12,1
9,FALSE,4,20,87,4,1,300,0,211,plot_turk2_300_350_12_3.png,turk2,0,Turk2,-3.5,12,3
9,FALSE,1,5,18,1,3,300,0.0317,206,plot_turk2_300_230_12_1.png,turk2,1,Turk2,2.3,12,1
10,TRUE,13,13,37,2,1,100,9.00E-04,155,plot_turk2_100_75_5_1.png,turk2,3,Turk2,0.75,5,1
10,FALSE,15,9,54,2,1,100,0.1034,159,plot_turk2_100_125_5_2.png,turk2,2,Turk2,1.25,5,2
10,TRUE,19,19,22,1,12,100,0,180,plot_turk2_100_600_12_2.png,turk2,0,Turk2,-6,12,2
10,TRUE,3,3,24,1,1,100,6.00E-04,161,plot_turk2_100_175_5_1.png,turk2,1,Turk2,-1.75,5,1
10,TRUE,20,20,23,1,1,100,0.0061,176,plot_turk2_100_450_12_1.png,turk2,1,Turk2,-4.5,12,1
10,FALSE,14,15,26,2,1,100,0.0514,174,plot_turk2_100_350_12_2.png,turk2,2,Turk2,-3.5,12,2
10,FALSE,6,14,28,4,1,100,0.4696,170,plot_turk2_100_150_12_1.png,turk2,3,Turk2,-1.5,12,1
10,TRUE,17,17,36,1,1,100,0,164,plot_turk2_100_275_5_1.png,turk2,0,Turk2,2.75,5,1
10,TRUE,17,17,17,1,12,100,0,181,plot_turk2_100_600_12_3.png,turk2,0,Turk2,-6,12,3
10,TRUE,7,7,12,1,1,100,0.0036,152,plot_turk2_100_25_5_1.png,turk2,4,Turk2,-0.25,5,1
11,TRUE,19,19,33,5,1,100,0,180,plot_turk2_100_600_12_2.png,turk2,0,Turk2,-6,12,2
11,TRUE,20,20,31,5,1,100,0.0061,176,plot_turk2_100_450_12_1.png,turk2,1,Turk2,-4.5,12,1
11,FALSE,2,11,28,5,1,300,0.0895,186,plot_turk2_300_40_5_2.png,turk2,3,Turk2,0.4,5,2
11,FALSE,18,13,55,5,1,100,0.8014,169,plot_turk2_100_50_12_3.png,turk2,4,Turk2,-0.5,12,3
11,TRUE,3,3,31,5,1,300,0,191,plot_turk2_300_100_5_1.png,turk2,1,Turk2,1,5,1
11,TRUE,7,7,27,5,1,300,1.00E-04,189,plot_turk2_300_70_5_2.png,turk2,2,Turk2,0.7,5,2
11,TRUE,1,1,78,5,1,300,0.0067,195,plot_turk2_300_150_5_2.png,turk2,0,Turk2,1.5,5,2
11,FALSE,6,14,23,5,1,100,0.4696,170,plot_turk2_100_150_12_1.png,turk2,3,Turk2,-1.5,12,1
11,FALSE,14,15,70,5,1,100,0.0514,174,plot_turk2_100_350_12_2.png,turk2,2,Turk2,-3.5,12,2
11,TRUE,19,19,17,5,1,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
12,TRUE,10,10,27,4,1,300,0.0013,194,plot_turk2_300_150_5_1.png,turk2,0,Turk2,-1.5,5,1
12,TRUE,17,17,30,4,1,100,0,181,plot_turk2_100_600_12_3.png,turk2,0,Turk2,-6,12,3
12,FALSE,6,14,35,3,1,100,0.4696,170,plot_turk2_100_150_12_1.png,turk2,3,Turk2,-1.5,12,1
12,FALSE,17,7,25,3,1,300,0.0017,207,plot_turk2_300_230_12_2.png,turk2,1,Turk2,2.3,12,2
12,TRUE,17,17,16,3,1,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
12,FALSE,9,15,35,3,1,300,0.352,187,plot_turk2_300_40_5_3.png,turk2,3,Turk2,0.4,5,3
12,TRUE,20,20,34,3,1,100,0.0061,176,plot_turk2_100_450_12_1.png,turk2,1,Turk2,-4.5,12,1
12,FALSE,18,13,41,3,1,100,0.8014,169,plot_turk2_100_50_12_3.png,turk2,4,Turk2,-0.5,12,3
12,FALSE,3,13,42,4,1,300,0.4749,192,plot_turk2_300_100_5_2.png,turk2,1,Turk2,-1,5,2
12,TRUE,17,17,15,3,1,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
12,TRUE,19,19,16,4,1,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
12,FALSE,18,13,21,3,1,100,0.7565,153,plot_turk2_100_25_5_2.png,turk2,4,Turk2,-0.25,5,2
12,FALSE,7,1,32,3,1,100,0.0539,173,plot_turk2_100_350_12_1.png,turk2,2,Turk2,3.5,12,1
13,FALSE,6,1,58,4,13,100,0.0539,173,plot_turk2_100_350_12_1.png,turk2,2,Turk2,3.5,12,1
13,TRUE,7,7,22,4,123,300,1.00E-04,189,plot_turk2_300_70_5_2.png,turk2,2,Turk2,0.7,5,2
13,FALSE,13,6,15,4,123,300,0.2873,197,plot_turk2_300_0_12_1.png,turk2,4,Turk2,0,12,1
13,FALSE,12,10,25,5,123,100,0.1297,172,plot_turk2_100_150_12_3.png,turk2,3,Turk2,1.5,12,3
13,TRUE,19,19,27,4,123,100,0,179,plot_turk2_100_600_12_1.png,turk2,0,Turk2,-6,12,1
13,TRUE,19,19,30,4,13,100,0,180,plot_turk2_100_600_12_2.png,turk2,0,Turk2,-6,12,2
13,TRUE,17,17,51,4,123,100,0,181,plot_turk2_100_600_12_3.png,turk2,0,Turk2,-6,12,3
13,FALSE,18,13,85,5,123,100,0.8014,169,plot_turk2_100_50_12_3.png,turk2,4,Turk2,-0.5,12,3
13,FALSE,11,18,16,5,1,100,0.0927,158,plot_turk2_100_125_5_1.png,turk2,2,Turk2,-1.25,5,1
13,FALSE,7,8,69,4,123,100,0.9403,171,plot_turk2_100_150_12_2.png,turk2,3,Turk2,-1.5,12,2
13,TRUE,2,2,11,4,1,100,0,178,plot_turk2_100_450_12_3.png,turk2,1,Turk2,4.5,12,3
13,TRUE,10,10,15,5,3,300,0.0013,194,plot_turk2_300_150_5_1.png,turk2,0,Turk2,-1.5,5,1
13,TRUE,19,19,13,4,12,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
13,TRUE,2,2,22,3,13,100,0,178,plot_turk2_100_450_12_3.png,turk2,1,Turk2,4.5,12,3
13,FALSE,7,11,85,5,23,300,0.0895,186,plot_turk2_300_40_5_2.png,turk2,3,Turk2,0.4,5,2
13,FALSE,20,13,21,5,3,100,0.5075,168,plot_turk2_100_50_12_2.png,turk2,4,Turk2,-0.5,12,2
13,TRUE,7,7,87,4,13,100,0.0036,152,plot_turk2_100_25_5_1.png,turk2,4,Turk2,-0.25,5,1
13,TRUE,11,11,22,5,123,300,1.00E-04,204,plot_turk2_300_175_12_2.png,turk2,2,Turk2,1.75,12,2
13,FALSE,11,18,18,5,13,100,0.0927,158,plot_turk2_100_125_5_1.png,turk2,2,Turk2,-1.25,5,1
13,TRUE,3,3,21,4,13,300,0,191,plot_turk2_300_100_5_1.png,turk2,1,Turk2,1,5,1
14,TRUE,11,11,11,1,1,300,1.00E-04,204,plot_turk2_300_175_12_2.png,turk2,2,Turk2,1.75,12,2
14,TRUE,19,19,43,1,1,100,0,180,plot_turk2_100_600_12_2.png,turk2,0,Turk2,-6,12,2
14,TRUE,13,13,33,1,1,300,0,210,plot_turk2_300_350_12_2.png,turk2,0,Turk2,3.5,12,2
14,FALSE,14,11,41,2,1,300,0.108,201,plot_turk2_300_80_12_2.png,turk2,3,Turk2,0.8,12,2
14,FALSE,6,14,37,2,1,100,0.4696,170,plot_turk2_100_150_12_1.png,turk2,3,Turk2,-1.5,12,1
14,FALSE,12,10,101,3,12,100,0.0802,175,plot_turk2_100_350_12_3.png,turk2,2,Turk2,-3.5,12,3
14,TRUE,10,10,11,1,1,300,0.0014,208,plot_turk2_300_230_12_3.png,turk2,1,Turk2,-2.3,12,3
14,FALSE,14,13,46,2,1,100,0.5075,168,plot_turk2_100_50_12_2.png,turk2,4,Turk2,-0.5,12,2
14,TRUE,3,3,40,1,1,100,0.0028,177,plot_turk2_100_450_12_2.png,turk2,1,Turk2,4.5,12,2
14,FALSE,15,20,26,3,13,300,0,211,plot_turk2_300_350_12_3.png,turk2,0,Turk2,-3.5,12,3
15,TRUE,1,1,23,1,1,100,0,221,plot_turk2_100_600_12_4.png,turk2,0,Turk2,-6,12,4
15,TRUE,17,17,55,1,1,100,0.003,214,plot_turk2_100_125_5_5.png,turk2,2,Turk2,-1.25,5,5
15,FALSE,1,18,131,2,1,100,0.0452,215,plot_turk2_100_150_12_4.png,turk2,3,Turk2,-1.5,12,4
15,TRUE,5,5,42,1,1,100,0.0013,216,plot_turk2_100_350_12_4.png,turk2,2,Turk2,-3.5,12,4
15,TRUE,19,19,38,1,1,300,0,219,plot_turk2_300_230_12_5.png,turk2,1,Turk2,2.3,12,5
15,TRUE,10,10,28,1,1,300,1.00E-04,218,plot_turk2_300_230_12_4.png,turk2,1,Turk2,-2.3,12,4
15,TRUE,19,19,63,1,1,100,4.00E-04,217,plot_turk2_100_350_12_5.png,turk2,2,Turk2,-3.5,12,5
15,FALSE,5,15,59,1,1,100,0.469,212,plot_turk2_100_25_5_4.png,turk2,4,Turk2,0.25,5,4
15,TRUE,6,6,26,1,1,100,7.00E-04,213,plot_turk2_100_125_5_4.png,turk2,2,Turk2,1.25,5,4
15,FALSE,16,19,46,1,1,300,0.795,220,plot_turk2_300_80_12_4.png,turk2,3,Turk2,0.8,12,4
16,TRUE,19,19,17,5,2,100,4.00E-04,217,plot_turk2_100_350_12_5.png,turk2,2,Turk2,-3.5,12,5
16,FALSE,16,19,48,4,2,300,0.795,220,plot_turk2_300_80_12_4.png,turk2,3,Turk2,0.8,12,4
16,TRUE,10,10,16,5,2,300,1.00E-04,218,plot_turk2_300_230_12_4.png,turk2,1,Turk2,-2.3,12,4
16,TRUE,18,18,47,3,1,100,0.0452,215,plot_turk2_100_150_12_4.png,turk2,3,Turk2,-1.5,12,4
16,FALSE,5,15,13,5,2,100,0.469,212,plot_turk2_100_25_5_4.png,turk2,4,Turk2,0.25,5,4
16,TRUE,6,6,16,5,2,100,7.00E-04,213,plot_turk2_100_125_5_4.png,turk2,2,Turk2,1.25,5,4
16,TRUE,5,5,22,4,2,100,0.0013,216,plot_turk2_100_350_12_4.png,turk2,2,Turk2,-3.5,12,4
16,TRUE,19,19,20,3,2,300,0,219,plot_turk2_300_230_12_5.png,turk2,1,Turk2,2.3,12,5
16,TRUE,17,17,24,4,2,100,0.003,214,plot_turk2_100_125_5_5.png,turk2,2,Turk2,-1.25,5,5
16,TRUE,1,1,11,5,2,100,0,221,plot_turk2_100_600_12_4.png,turk2,0,Turk2,-6,12,4
17,FALSE,10,15,101,4,1,100,0.903,157,plot_turk2_100_75_5_3.png,turk2,3,Turk2,-0.75,5,3
17,FALSE,16,9,61,4,1,100,0.1034,159,plot_turk2_100_125_5_2.png,turk2,2,Turk2,1.25,5,2
17,FALSE,6,14,15,4,1,100,0.4696,170,plot_turk2_100_150_12_1.png,turk2,3,Turk2,-1.5,12,1
17,TRUE,19,19,21,4,2,100,0,179,plot_turk2_100_600_12_1.png,turk2,0,Turk2,-6,12,1
17,TRUE,9,9,71,3,1,100,1.00E-04,163,plot_turk2_100_175_5_3.png,turk2,1,Turk2,-1.75,5,3
17,TRUE,17,17,28,5,1,100,0,164,plot_turk2_100_275_5_1.png,turk2,0,Turk2,2.75,5,1
17,TRUE,2,2,45,4,1,100,0,178,plot_turk2_100_450_12_3.png,turk2,1,Turk2,4.5,12,3
17,FALSE,18,5,52,4,1,100,0.5453,154,plot_turk2_100_25_5_3.png,turk2,4,Turk2,-0.25,5,3
17,TRUE,19,19,15,4,2,100,0,180,plot_turk2_100_600_12_2.png,turk2,0,Turk2,-6,12,2
17,TRUE,10,10,113,3,2,100,0.0802,175,plot_turk2_100_350_12_3.png,turk2,2,Turk2,-3.5,12,3
18,TRUE,11,11,11,5,1,300,0.0012,200,plot_turk2_300_80_12_1.png,turk2,3,Turk2,0.8,12,1
18,TRUE,19,19,8,5,1,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
18,FALSE,9,15,12,3,1,300,0.352,187,plot_turk2_300_40_5_3.png,turk2,3,Turk2,0.4,5,3
18,TRUE,11,11,9,5,1,300,1.00E-04,204,plot_turk2_300_175_12_2.png,turk2,2,Turk2,1.75,12,2
18,TRUE,16,16,16,5,1,300,0,209,plot_turk2_300_350_12_1.png,turk2,0,Turk2,-3.5,12,1
18,FALSE,12,6,17,5,12,300,0.2873,197,plot_turk2_300_0_12_1.png,turk2,4,Turk2,0,12,1
18,TRUE,1,1,8,5,1,300,0.0067,195,plot_turk2_300_150_5_2.png,turk2,0,Turk2,1.5,5,2
18,TRUE,17,17,9,5,1,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
18,TRUE,10,10,30,3,1,300,0.0014,208,plot_turk2_300_230_12_3.png,turk2,1,Turk2,-2.3,12,3
18,TRUE,3,3,11,5,1,300,0,191,plot_turk2_300_100_5_1.png,turk2,1,Turk2,1,5,1
19,TRUE,17,17,76,2,1,300,0.0234,188,plot_turk2_300_70_5_1.png,turk2,2,Turk2,-0.7,5,1
19,FALSE,11,13,129,3,1,300,0.4749,192,plot_turk2_300_100_5_2.png,turk2,1,Turk2,-1,5,2
19,TRUE,11,11,42,1,1,300,0.0012,200,plot_turk2_300_80_12_1.png,turk2,3,Turk2,0.8,12,1
19,TRUE,19,19,33,1,1,300,0,196,plot_turk2_300_150_5_3.png,turk2,0,Turk2,1.5,5,3
19,FALSE,1,14,62,2,1,300,0.2964,185,plot_turk2_300_40_5_1.png,turk2,3,Turk2,0.4,5,1
